City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,mount gambier,-37.8333,140.7667,14.84,62,61,5.47,AU,1701066666
338,holualoa,19.6228,-155.9522,22.91,94,20,2.57,US,1701066667
339,biltine,14.5333,20.9167,30.49,17,37,9.01,TD,1701066667
340,korla,41.7597,86.1469,9.01,32,8,0.73,CN,1701066628
341,bichura,50.5881,107.6022,-10.87,70,37,3.08,RU,1701066667
342,paraiso,9.8383,-83.8656,19.48,96,100,1.71,CR,1701066667
343,agadez,19.75,10.25,19.38,21,100,2.64,NE,1701066667
344,bratsk,56.1325,101.6142,-16.73,73,81,1.48,RU,1701066600
345,manzanillo,20.3433,-77.1167,23.17,86,0,0.54,CU,1701066668
346,frutal,-20.0247,-48.9406,22.51,86,92,2.61,BR,1701066432
347,acajutla,13.5928,-89.8275,26.34,75,3,2.71,SV,1701066668
348,souillac,-20.5167,57.5167,28.21,69,40,5.14,MU,1701066668
349,zhezqazghan,47.7833,67.7667,2.32,75,0,6.0,KZ,1701066668
350,palapye,-22.546,27.1251,31.08,25,0,6.38,BW,1701066668
351,francistown,-21.17,27.5079,31.02,23,0,6.31,BW,1701066659
352,castillos,-34.1667,-53.8333,15.31,96,8,2.45,UY,1701066668
353,el granada,37.5027,-122.4694,12.66,58,0,0.45,US,1701066668
354,colonia,50.9333,6.95,4.6,84,20,4.63,DE,1701066383
355,tamanrasset,22.785,5.5228,10.95,24,0,1.03,DZ,1701066669
356,san matias,-16.3667,-58.4,22.35,94,54,1.35,BO,1701066669
357,baukau,51.5526,7.2042,4.42,94,100,2.24,DE,1701066669
358,gizo,-8.103,156.8419,28.66,73,100,0.44,SB,1701066669
359,walvis bay,-22.9575,14.5053,15.05,75,53,1.93,NA,1701066669
360,al ghayzah,16.2079,52.176,27.56,55,5,0.16,YE,1701066669
361,kangding,30.0513,101.9603,14.6,21,5,1.48,CN,1701066670
